ds,yhat,yhat_lower,yhat_upper
2022-10-24,180.37805728213297,167.60452214686413,192.08073049188394
2022-10-25,182.3875630201572,170.15513712579443,194.3850551739306
2022-10-26,180.76745553487999,168.55986283890053,193.83205516003102
2022-10-27,182.08532280429748,169.15669925133105,193.92267822509095
2022-10-28,183.1853097533449,171.3832175271876,196.31190536483584
2022-10-29,183.09370965094416,171.35803919041805,195.28561770504123
2022-10-30,182.92302857974485,171.03704344998818,195.40374979816409
2022-10-31,181.35023945335132,169.26665701244946,193.19592862343487
2022-11-01,183.5201357929543,170.47115127429828,195.0570353960651
2022-11-02,182.06410682873442,168.84265963555265,193.6846620524276
2022-11-03,183.54556968010294,170.5925721285291,195.549660014032
2022-11-04,184.80438524087162,172.41143748271327,197.15674365784366
2022-11-05,184.86256843978845,172.19552396406297,196.1278819191675
2022-11-06,184.82847389940991,172.612433620809,196.4278688590742
2022-11-07,183.3751701448693,170.90012319971345,195.63691654118958
2022-11-08,185.6439092275006,173.9927518853196,197.9127067502639
2022-11-09,184.26301004983736,171.4809415303469,195.98532793555083
2022-11-10,185.79338802786157,173.86679128874567,197.68174380016427
2022-11-11,187.07305484737734,174.89487226356482,198.85376849302668
2022-11-12,187.1228964474051,175.33863955236663,199.64416969015974
2022-11-13,187.05004229383428,173.9091761105536,199.54193436822513
2022-11-14,185.52886657311856,173.46728740955135,198.19834054381252
2022-11-15,187.70186875032638,175.00075713667525,200.02184927992946
2022-11-16,186.19940947658796,174.05085772623943,198.91495476786332
2022-11-17,187.58520534168233,174.9870029608484,199.5589340667286
2022-11-18,188.70077264515572,176.70547559743966,201.12740791334352
2022-11-19,188.5711294863135,175.73332855889004,201.25262740604333
2022-11-20,188.30893678547704,175.57325049851693,201.70929525368513
2022-11-21,186.5927919607099,174.5115829371124,198.99690550695433
2022-11-22,188.57058367603537,175.7303562980609,200.56270836899895
2022-11-23,186.8782284480678,173.67754568914444,198.59602551181246
2022-11-24,188.0850251383745,176.45721425877142,199.88008818830127
2022-11-25,189.0379552902148,177.07899138441073,201.4921604445632
2022-11-26,188.76724234949188,176.00438949322245,201.87728551474535
2022-11-27,188.3903541482179,176.04248797078924,201.6812060374919
2022-11-28,186.59016606639494,174.77015025858245,198.80942281197156
2022-11-29,188.51819680583637,175.5347211484559,200.5930159284025
2022-11-30,186.81324081013193,175.26832266127118,199.33147456670133
2022-12-01,188.04663624668737,176.0000994589911,200.5088971811847
2022-12-02,189.06649895868594,177.09414069331078,201.2494487761112
2022-12-03,188.903237368609,175.79167485342342,201.4563812257346
2022-12-04,188.67353409017645,177.11313254246699,201.20558166266096
2022-12-05,187.05851243971932,174.36989022750132,198.99832456659297
2022-12-06,189.20699992767538,177.48458756779874,202.52819452063173
2022-12-07,187.7542122756831,175.23503156209298,200.55523123554303
2022-12-08,189.2670957603518,176.531431632798,201.40888561926675
2022-12-09,190.58865657632614,178.5570255196025,202.5051002925233
2022-12-10,190.7435899272134,178.29448876426954,203.12350603115334
2022-12-11,190.84239182797248,178.50763606181962,203.38649234125216
2022-12-12,189.55966860714193,177.05712411883403,202.24398627076883
2022-12-13,192.0375526403821,179.35357347081032,204.67744699462682
2022-12-14,190.90454405754483,178.80725602657506,203.20731792975286
2022-12-15,192.72101226583158,180.51363177986846,204.68954899385707
2022-12-16,194.32368197201575,181.6683489886016,206.85336999176056
2022-12-17,194.73141245614158,181.2951707472948,207.18723081833997
2022-12-18,195.0492954375798,182.7875927787521,207.49396970188732
2022-12-19,193.9475522040428,181.00533317818875,206.6669271159188
2022-12-20,196.56459689794346,183.2977547300954,209.52393746359442
2022-12-21,195.52612139273998,182.92159661668734,207.99105975125002
2022-12-22,197.3906641284972,184.4775146826083,209.7943551340208
2022-12-23,198.9941397491873,187.33238759700404,209.86132439899214
2022-12-24,199.3556372177796,187.3861796065984,212.54803804900206
2022-12-25,199.58166515396104,187.82640875228677,211.52015971877822
2022-12-26,198.3445560477621,185.50226274909426,210.72627101021845
2022-12-27,200.78593553563297,189.43701657418552,212.74658656463748
2022-12-28,199.53557518634534,186.57145417942513,211.60698568429822
2022-12-29,201.15686242659166,188.64833849356734,214.34422914199402
2022-12-30,202.49121316219913,190.0420237332589,215.7285723182111
2022-12-31,202.56373778092095,190.37200164985578,214.74130874027938
2023-01-01,202.4873426628503,189.69214306263342,214.67920209777455
2023-01-02,200.94098251380603,189.3269139351904,212.2326455187612
2023-01-03,203.07297355475316,191.00985325201881,215.60453151077036
2023-01-04,201.5196899428437,189.73418617497964,213.9143456460741
2023-01-05,202.85088096169872,190.21504714961833,215.12359416247037
2023-01-06,203.91393832113937,191.09250746566528,217.02688660040607
2023-01-07,203.73942781543474,191.57208217326655,216.59731156792984
2023-01-08,203.44507071592685,190.12176794867307,216.29728347213455
2023-01-09,201.71389306752758,189.22311706498735,214.33186684526075
2023-01-10,203.6974553085049,191.9286166163328,216.43026326019
2023-01-11,202.0344864496462,190.0855862958695,214.50218780814657
2023-01-12,203.2961616403529,191.57520473391014,215.85554582783752
2023-01-13,204.3303531535618,191.96132975547278,217.00997153184105
2023-01-14,204.16716911864725,191.9269116384,216.47486382444794
2023-01-15,203.9229648523115,191.2077847994899,216.26656904939668
2023-01-16,202.2785438444659,190.03022485470035,214.36045102371642
2023-01-17,204.38245915599217,192.2724531616881,216.99484544525103
2023-01-18,202.86973730254877,190.93422909890901,215.21068253898207
2023-01-19,204.3072608537255,191.3247775372563,215.530801487985
2023-01-20,205.53813681957877,192.61852968451774,219.10060625276947
2023-01-21,205.58736191587798,192.80775728170858,218.34982941071718
2023-01-22,205.56596613845866,193.53733215914076,218.2622879572435
2023-01-23,204.14934815185717,191.58568140645068,215.7852035762515
2023-01-24,206.48070979531667,194.36833175500786,218.69304157827744
2023-01-25,205.18990829425036,193.06215154181402,217.71773810763437
2023-01-26,206.83895920372663,194.2367067588957,219.35521597496316
2023-01-27,208.2665141857066,196.33906835079804,220.0043487664907
2023-01-28,208.49362209510556,196.39487090140346,220.04268910415738
2023-01-29,208.62795259450493,196.6991052062039,220.90360808322768
